batch_index,image_name,width,height,source_pool,source_group,original_path,brightness_mean,contrast_std,edge_mean
1,001_mobile_night_video_20250529_205107_frame_0099.jpg,1280,720,mobile_night_video,20250529_205107,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205107\frame_0099.jpg,30.198,40.988,12.562
2,002_seed_streetlight_dataset_train_train_set_2_frame_34_jpg.rf.eJ0Jen1cNbRPpGGRgUSS.jpg,1280,720,seed_streetlight_dataset,train,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\train\train_set_2_frame_34_jpg.rf.eJ0Jen1cNbRPpGGRgUSS.jpg,6.572,12.031,7.037
3,003_mobile_night_video_5616515181548_frame_0074.jpg,1280,720,mobile_night_video,5616515181548,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\5616515181548\frame_0074.jpg,30.537,31.106,13.708
4,004_seed_streetlight_dataset_valid_train_set_2_frame_15_jpg.rf.nAgCu0sqgGK0D4PvvA1c.jpg,1280,720,seed_streetlight_dataset,valid,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\valid\train_set_2_frame_15_jpg.rf.nAgCu0sqgGK0D4PvvA1c.jpg,6.765,13.786,7.274
5,005_mobile_night_video_20250529_211431_frame_0042.jpg,1280,720,mobile_night_video,20250529_211431,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_211431\frame_0042.jpg,32.101,35.755,15.319
6,006_seed_streetlight_dataset_test_train_set_2_frame_31_jpg.rf.YUNiP0Fiw3t7Apx1Goc6.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\train_set_2_frame_31_jpg.rf.YUNiP0Fiw3t7Apx1Goc6.jpg,29.215,30.178,24.217
7,007_mobile_night_video_561651518145_frame_0013.jpg,1280,720,mobile_night_video,561651518145,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\561651518145\frame_0013.jpg,4.358,9.139,5.363
8,008_seed_streetlight_dataset_train_train_set_2_frame_33_jpg.rf.SIfKCgTe8F8TGOxp03Rj.jpg,1280,720,seed_streetlight_dataset,train,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\train\train_set_2_frame_33_jpg.rf.SIfKCgTe8F8TGOxp03Rj.jpg,6.82,12.121,8.12
9,009_mobile_night_video_20250529_205304_frame_0075.jpg,1280,720,mobile_night_video,20250529_205304,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205304\frame_0075.jpg,29.935,35.951,11.902
10,010_seed_streetlight_dataset_valid_train_set_2_frame_16_jpg.rf.Jfnk0h2dV8UTkkYlZ43e.jpg,1280,720,seed_streetlight_dataset,valid,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\valid\train_set_2_frame_16_jpg.rf.Jfnk0h2dV8UTkkYlZ43e.jpg,6.765,13.786,7.273
11,011_mobile_night_video_20250529_205507_frame_0099.jpg,1280,720,mobile_night_video,20250529_205507,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205507\frame_0099.jpg,27.107,35.606,17.244
12,012_seed_streetlight_dataset_test_train_set_1_frame_382_jpg.rf.7y5kf69iDRvpoOvoBCZ4.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\train_set_1_frame_382_jpg.rf.7y5kf69iDRvpoOvoBCZ4.jpg,33.369,38.96,13.549
13,013_mobile_night_video_20250529_205815_frame_0006.jpg,1280,720,mobile_night_video,20250529_205815,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205815\frame_0006.jpg,32.002,43.449,12.446
14,014_seed_streetlight_dataset_train_train_set_2_frame_32_jpg.rf.wg8zJ3aDgSpTu4BkUUPy.jpg,1280,720,seed_streetlight_dataset,train,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\train\train_set_2_frame_32_jpg.rf.wg8zJ3aDgSpTu4BkUUPy.jpg,6.821,12.121,8.123
