batch_index,image_count,zip_name,zip_path,mobile_count,seed_count
1,100,chatgpt_streetlight_measurement_batch_001_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_001_100.zip,60,40
2,100,chatgpt_streetlight_measurement_batch_002_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_002_100.zip,60,40
3,100,chatgpt_streetlight_measurement_batch_003_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_003_100.zip,60,40
4,100,chatgpt_streetlight_measurement_batch_004_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_004_100.zip,60,40
5,100,chatgpt_streetlight_measurement_batch_005_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_005_100.zip,60,40
6,100,chatgpt_streetlight_measurement_batch_006_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_006_100.zip,60,40
7,100,chatgpt_streetlight_measurement_batch_007_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_007_100.zip,60,40
8,100,chatgpt_streetlight_measurement_batch_008_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_008_100.zip,60,40
9,100,chatgpt_streetlight_measurement_batch_009_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_009_100.zip,60,40
10,100,chatgpt_streetlight_measurement_batch_010_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_010_100.zip,60,40
11,100,chatgpt_streetlight_measurement_batch_011_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_011_100.zip,60,40
12,100,chatgpt_streetlight_measurement_batch_012_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_012_100.zip,60,40
13,100,chatgpt_streetlight_measurement_batch_013_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_013_100.zip,60,40
14,100,chatgpt_streetlight_measurement_batch_014_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_014_100.zip,60,40
15,100,chatgpt_streetlight_measurement_batch_015_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_015_100.zip,60,40
16,100,chatgpt_streetlight_measurement_batch_016_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_016_100.zip,60,40
17,100,chatgpt_streetlight_measurement_batch_017_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_017_100.zip,60,40
18,100,chatgpt_streetlight_measurement_batch_018_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_018_100.zip,60,40
19,100,chatgpt_streetlight_measurement_batch_019_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_019_100.zip,60,40
20,100,chatgpt_streetlight_measurement_batch_020_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_020_100.zip,60,40
21,100,chatgpt_streetlight_measurement_batch_021_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_021_100.zip,60,40
22,100,chatgpt_streetlight_measurement_batch_022_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_022_100.zip,60,40
23,100,chatgpt_streetlight_measurement_batch_023_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_023_100.zip,60,40
24,100,chatgpt_streetlight_measurement_batch_024_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_024_100.zip,60,40
25,100,chatgpt_streetlight_measurement_batch_025_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_025_100.zip,60,40
26,100,chatgpt_streetlight_measurement_batch_026_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_026_100.zip,60,40
27,100,chatgpt_streetlight_measurement_batch_027_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_027_100.zip,60,40
28,100,chatgpt_streetlight_measurement_batch_028_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_028_100.zip,60,40
29,100,chatgpt_streetlight_measurement_batch_029_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_029_100.zip,60,40
30,100,chatgpt_streetlight_measurement_batch_030_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_030_100.zip,60,40
31,100,chatgpt_streetlight_measurement_batch_031_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_031_100.zip,60,40
32,100,chatgpt_streetlight_measurement_batch_032_100.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_032_100.zip,60,40
33,32,chatgpt_streetlight_measurement_batch_033_032.zip,F:\RBCCPS_Directory\exports\chatgpt batches\chatgpt_streetlight_measurement_batch_033_032.zip,29,3
