batch_index,image_name,width,height,source_pool,source_group,original_path,brightness_mean,contrast_std,edge_mean
1,001_mobile_night_video_20250529_205107_frame_0099.jpg,1280,720,mobile_night_video,20250529_205107,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205107\frame_0099.jpg,30.198,40.988,12.562
2,002_mobile_night_video_20250529_205107_frame_0172.jpg,1280,720,mobile_night_video,20250529_205107,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205107\frame_0172.jpg,45.433,40.794,14.075
3,003_mobile_night_video_20250529_205107_frame_0212.jpg,1280,720,mobile_night_video,20250529_205107,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205107\frame_0212.jpg,50.92,47.524,20.005
4,004_mobile_night_video_20250529_205107_frame_0117.jpg,1280,720,mobile_night_video,20250529_205107,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205107\frame_0117.jpg,55.351,42.253,22.345
5,005_mobile_night_video_20250529_205107_frame_0073.jpg,1280,720,mobile_night_video,20250529_205107,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205107\frame_0073.jpg,60.673,41.204,15.542
6,006_mobile_night_video_20250529_205107_frame_0079.jpg,1280,720,mobile_night_video,20250529_205107,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205107\frame_0079.jpg,69.184,51.255,17.856
7,007_mobile_night_video_5616515181548_frame_0074.jpg,1280,720,mobile_night_video,5616515181548,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\5616515181548\frame_0074.jpg,30.537,31.106,13.708
8,008_mobile_night_video_5616515181548_frame_0238.jpg,1280,720,mobile_night_video,5616515181548,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\5616515181548\frame_0238.jpg,40.951,43.196,16.219
9,009_mobile_night_video_5616515181548_frame_0241.jpg,1280,720,mobile_night_video,5616515181548,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\5616515181548\frame_0241.jpg,47.636,46.543,18.487
10,010_mobile_night_video_5616515181548_frame_0090.jpg,1280,720,mobile_night_video,5616515181548,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\5616515181548\frame_0090.jpg,52.279,40.208,18.176
